date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:20:21	238/238	---M--	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jun%202022%2008:20:21%20GMT	http://localhost:81/0porcent0	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0.0.delayed	(from )
09:20:21	208/208	---M--	404	error ('Not%20Found')	text/html	date:Thu,%2030%20Jun%202022%2008:20:21%20GMT	http://localhost:81/robots.txt		(from )
09:20:21	24929/24929	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jun%202022%2008:20:21%20GMT	http://localhost:81/0porcent0/	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/index.html	(from )
09:20:22	28201/28201	---M--	200	added ('OK')	text/css	etag:%226e29-5e2910239e64a%22	http://localhost:81/0porcent0/wp-content/themes/0porcent0_template/style.css	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-content/themes/0porcent0_template/style.css	(from http://localhost:81/0porcent0/)
09:20:23	88870/88870	---M--	200	added ('OK')	text/css	etag:%2215b26-5dfd1bc0da866%22	http://localhost:81/0porcent0/wp-includes/css/dist/block-library/style.min.css?ver=6.0	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-includes/css/dist/block-library/style.minf049.css	(from http://localhost:81/0porcent0/)
09:20:25	5763/5763	---M-Z	200	added ('OK')	application/rss+xml	etag:%2262f85b56394bb65abadbd64ee4d544bb%22	http://localhost:81/0porcent0/home/feed/	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/home/feed/index.html	(from http://localhost:81/0porcent0/)
09:20:25	973/973	---M--	200	added ('OK')	text/css	etag:%223cd-5df817ce71d4c%22	http://localhost:81/0porcent0/wp-content/plugins/dco-comment-attachment/assets/dco-comment-attachment.css?ver=2.3.1	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-content/plugins/dco-comment-attachment/assets/dco-comment-attachment254d.css	(from http://localhost:81/0porcent0/)
09:20:26	1422/1422	---M-Z	200	added ('OK')	application/json	date:Thu,%2030%20Jun%202022%2008:20:25%20GMT	http://localhost:81/0porcent0/wp-json/wp/v2/pages/13	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-json/wp/v2/pages/13.json	(from http://localhost:81/0porcent0/)
09:20:26	840/840	---M-Z	200	added ('OK')	text/xml	date:Thu,%2030%20Jun%202022%2008:20:26%20GMT	http://localhost:81/0porcent0/xmlrpc.php?rsd	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/xmlrpc0db0.php	(from http://localhost:81/0porcent0/)
09:20:26	11224/11224	---M--	200	added ('OK')	application/javascript	etag:%222bd8-5b45debe27b80%22	http://localhost:81/0porcent0/wp-includes/js/jquery/jquery-migrate.min.js?ver=3.3.2	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-includes/js/jquery/jquery-migrate.mind617.js	(from http://localhost:81/0porcent0/)
09:20:27	1045/1045	---M--	200	added ('OK')	application/xml	etag:%22415-4ed4785da9bc0%22	http://localhost:81/0porcent0/wp-includes/wlwmanifest.xml	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-includes/wlwmanifest.xml	(from http://localhost:81/0porcent0/)
09:20:27	2386/2386	---M-Z	200	added ('OK')	application/json	date:Thu,%2030%20Jun%202022%2008:20:27%20GMT	http://localhost:81/0porcent0/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A81%2F0porcent0%2F	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-json/oembed/1.0/embedf754.json	(from http://localhost:81/0porcent0/)
09:20:28	2454/2454	---M-Z	200	added ('OK')	text/xml	date:Thu,%2030%20Jun%202022%2008:20:27%20GMT	http://localhost:81/0porcent0/wp-json/oembed/1.0/embed?url=http%3A%2F%2Flocalhost%3A81%2F0porcent0%2F&format=xml	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-json/oembed/1.0/embedae2c	(from http://localhost:81/0porcent0/)
09:20:28	160837/160837	---MCZ	200	added ('OK')	application/json	date:Thu,%2030%20Jun%202022%2008:20:26%20GMT	http://localhost:81/0porcent0/wp-json/	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-json/index.html	(from http://localhost:81/0porcent0/)
09:20:37	89521/89521	---M--	200	added ('OK')	application/javascript	etag:%2215db1-5bd3006388300%22	http://localhost:81/0porcent0/wp-includes/js/jquery/jquery.min.js?ver=3.6.0	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/wp-includes/js/jquery/jquery.minaf6c.js	(from http://localhost:81/0porcent0/)
09:20:38	0/0	---M-Z	301	error ('Moved%20Permanently')	text/html	date:Thu,%2030%20Jun%202022%2008:20:38%20GMT	http://localhost:81/0porcent0/about	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/about.e.delayed	(from http://localhost:81/0porcent0/)
09:20:38	17968/17968	---M-Z	200	added ('OK')	text/html	date:Thu,%2030%20Jun%202022%2008:20:38%20GMT	http://localhost:81/0porcent0/about/	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/localhost_81/0porcent0/about/index.html	(from http://localhost:81/0porcent0/)
09:20:42	288580/288580	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-46744%22	https://code.jquery.com/jquery-3.6.0.js	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/code.jquery.com/jquery-3.6.0.js	(from http://localhost:81/0porcent0/)
09:20:49	529062/529062	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd700-812a6%22	https://code.jquery.com/ui/1.13.1/jquery-ui.js	C:/Users/Utilizador/Desktop/0porcent0-static-30-06/code.jquery.com/ui/1.13.1/jquery-ui.js	(from http://localhost:81/0porcent0/)
